word,replacement
fl studio,fl_studio
fl _studio,fl_studio
ableton live lite,ableton_live_lite
live lite,ableton_live_lite
ableton lite,ableton_live_lite
ableton live lite,ableton_live_lite
ableton live 10,ableton_live_10
ableton 10,ableton_live_10
live 10,ableton_live_10
ableton live 11,ableton_live_11
ableton 11,ableton_live_11
live 11,ableton_live_11
abelton11,ableton_live_11
ableton live,ableton_live
push 2,push2
big sur,big_sur
